Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,21,597.3333333,0.09047619,0.121428571,0,0.6,May,3,2,1,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0.4,May,2,2,1,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,69,3621.066667,0.001492537,0.02032147,0,0,Nov,2,1,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,41,647.8166667,0.0125,0.026666667,0,0.4,May,2,2,6,1,Returning_Visitor,FALSE,FALSE
6,212,1,9,10,491,0,0.004444444,0,0.6,May,1,1,1,2,Returning_Visitor,FALSE,FALSE
6,112.5,0,0,86,2041.23355,0.000387597,0.00786268,5.911452178,0,Nov,2,4,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,2,0,0.2,0.2,0,0,Mar,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,53,2052.125,0,0.003921569,52.49862029,0,Nov,2,4,2,2,New_Visitor,TRUE,TRUE
10,89.98,0,0,96,1304.973333,0.003921569,0.008309991,6.175932014,0,Oct,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,40,1699.583333,0.023076923,0.033799534,0,0,Nov,2,2,3,1,Returning_Visitor,TRUE,FALSE
9,866.4280303,1,691,36,1617.612554,0.010869565,0.025668172,0,0,Nov,1,1,1,2,Returning_Visitor,TRUE,FALSE
0,0,1,16,65,2863.400427,0.003125,0.011346726,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,FALSE
12,271.3,3,627.75,40,1358.874152,0.016571429,0.019758242,10.0674357,0,Dec,1,2,2,2,Returning_Visitor,FALSE,FALSE
7,356,1,37,61,683.1738095,0,0.006349206,0,0,May,2,2,1,3,New_Visitor,FALSE,FALSE
0,0,0,0,2,96,0,0.1,0,0,Mar,4,1,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,1440,0,0.05,0,0.8,May,2,2,5,1,Returning_Visitor,FALSE,FALSE
2,34,0,0,35,1907.135417,0.006944444,0.021993464,64.25350176,0,Dec,2,2,1,10,Returning_Visitor,TRUE,FALSE
3,19.33333333,0,0,28,710.9083333,0.006451613,0.012903226,0,0,May,2,2,8,3,New_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,May,2,4,4,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,15,478.26,0,0.015384615,0,0,Nov,2,2,8,20,Returning_Visitor,FALSE,FALSE
